COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
TVS Credit Services Ltd,NBFC ,4.2,Chennai,3.3k,7.2k,31
AGS Health,Analytics & KPO ,4.0,Chennai,3.3k,14.6k,45
HARMAN,Consumer Electronics & Appliances ,3.8,Bengaluru,3.3k,24.2k,115
NatWest Group,Banking ,4.0,Gurugram,3.3k,21.2k,27
Croma,Retail ,3.8,Mumbai,3.3k,9.2k,14
InterGlobe Aviation,Aviation ,3.5,New Delhi,3.3k,13.4k,54
Conduent,BPO ,3.4,Bengaluru,3.2k,16.9k,326
Alstom Transportation,Engineering & Construction ,3.7,Bengaluru,3.2k,15.1k,203
Niva Bupa Health Insurance Company,Insurance ,4.0,New Delhi,3.2k,8.4k,46
Indian Air Force,Defence & Aerospace ,4.6,New Delhi,3.2k,5.4k,--
Tata Technologies,Engineering & Construction ,3.4,Pune,3.2k,22.9k,103
GeBBS Healthcare Solutions,BPO ,3.8,Mumbai,3.2k,11.3k,81
Tata AIG,Insurance ,4.0,Mumbai,3.2k,11.5k,64
Allcargo Logistics,Logistics ,3.8,Mumbai,3.2k,7.1k,34
UPL,Agro Chemicals ,4.1,Ankleshwar,3.2k,11.1k,49
Marpu Foundation,Non-Profit ,4.9,Hyderabad,3.1k,60,--
Max Healthcare,Healthcare ,4.0,New Delhi,3.1k,10.5k,127
PepsiCo,Food Processing ,4.0,Hyderabad,3.1k,13.6k,200
Amazon Transportation Services,Logistics ,4.2,Hyderabad,3.1k,8.5k,--
Dilip Buildcon,Engineering & Construction ,3.9,Bhopal,3.1k,8.1k,21
Titan Company,Retail ,4.2,Bengaluru,3.1k,9.7k,106
Walmart,Retail ,3.5,Bengaluru,3.1k,22.9k,210
Mankind Pharma,Pharma ,3.8,New Delhi,3.1k,9.6k,8
Jindal Stainless,Iron & Steel ,4.2,Jajpur,3.1k,11.6k,84
Varroc Group,Auto Components ,3.6,Pune,3.1k,9.5k,37
S&P Global,Analytics & KPO ,4.0,Hyderabad,3.1k,20.6k,578
Sagility,BPO ,3.9,Bengaluru,3.1k,12.1k,101
MSN Laboratories,Pharma ,3.6,Hyderabad,3.1k,9.5k,27
Societe Generale Global Solution Centre,IT Services & Consulting ,3.6,Bengaluru,3.1k,23.1k,116
Quest Global,IT Services & Consulting ,3.5,Bengaluru,3k,21.4k,150
Afcons Infrastructure,Engineering & Construction ,4.2,Mumbai,3k,8.5k,29
Future Group,Retail ,4.3,Mumbai,3k,6.7k,--
Torrent Pharmaceuticals,Pharma ,4.0,Ahmedabad,3k,10.3k,24
Ola Electric Mobility,Automobile ,3.3,Bengaluru,3k,9.5k,--
IDFC FIRST Bharat,Financial Services ,4.2,Chennai,3k,5k,5
ESAF Small Finance Bank,Banking ,3.6,Thrissur,3k,7.4k,38
Square Yards,Internet ,3.6,Gurugram,3k,9.3k,62
HDFC Sales,Financial Services ,3.9,Mumbai,3k,8.3k,9
CMS IT Services,IT Services & Consulting ,3.1,Mumbai,3k,9.4k,26
Zensar Technologies,IT Services & Consulting ,3.7,Pune,3k,25.6k,108
I Process Services,Recruitment ,3.8,Mumbai,3k,5.5k,--
DS Group,FMCG ,4.1,Noida,2.9k,7.3k,44
Suzlon Group,Power ,4.0,Pune,2.9k,7.9k,21
ACC,Building Material ,3.9,Mumbai,2.9k,9.1k,--
Tata Elxsi,IT Services & Consulting ,3.5,Bengaluru,2.9k,23.2k,45
Eternal Limited,Internet ,3.6,Gurugram,2.9k,14.7k,9
Bharat Financial Inclusion,Financial Services ,3.7,Hyderabad,2.9k,5.2k,3
Indus Towers,Telecom ,3.6,Gurugram,2.9k,9.1k,52
Fujitsu,IT Services & Consulting ,3.8,Pune,2.9k,17.5k,124
Shoppers Stop,Retail ,4.0,Mumbai,2.9k,6.9k,45
VVDN Technologies,IT Services & Consulting ,3.6,Gurugram,2.9k,13.7k,9
Nokia,Telecom ,4.0,Bengaluru,2.9k,16.6k,101
Yazaki,Auto Components ,3.9,Pune,2.9k,9.1k,1
Apollo Tyres,Auto Components ,4.0,Chennai,2.9k,10k,--
IKS Health,Healthcare ,3.6,Mumbai,2.9k,11.3k,25
Shree Cement,Building Material ,3.8,Beawar,2.8k,9.9k,6
Fiserv,FinTech ,2.9,Pune,2.8k,17.7k,9
Britannia,FMCG ,4.0,Pune,2.8k,8.4k,9
Tata Electronics,Semiconductors ,3.9,Hosur,2.8k,11.5k,88
Zepto,Internet ,3.5,Bengaluru,2.8k,9.4k,35
UnitedHealth,Healthcare ,4.0,Hyderabad,2.8k,14.1k,--
Landmark Group,Retail ,3.8,Bengaluru,2.8k,9.3k,11
Dalmia Bharat Cement,Building Material ,3.9,Guwahati,2.8k,4.9k,2
SRF,Chemicals ,4.1,Bharuch,2.8k,8.9k,11
Blue Dart Express Ltd,Logistics ,4.0,Mumbai,2.7k,6.9k,19
Kansai Nerolac Paints,Chemicals ,3.8,Mumbai,2.7k,7.8k,67
Nestlé,FMCG ,3.8,Gurugram,2.7k,9.9k,9
Exide Industries,Auto Components ,3.4,Kolkata,2.7k,8.7k,70
Shell,Oil & Gas ,3.9,Bengaluru,2.7k,14.1k,69
ZS,Management Consulting ,3.1,Pune,2.7k,20.4k,255
KPMG Global Services,Management Consulting ,3.5,Bengaluru,2.7k,24k,16
Flex,Electronics Manufacturing ,3.9,Chennai,2.7k,15.8k,51
Whitehat jr,EdTech ,3.3,Mumbai,2.7k,9.3k,--
Micro Labs,Pharma ,3.6,Bengaluru,2.7k,9.8k,21
Star Health & Allied Insurance,Insurance ,3.5,Chennai,2.7k,10.2k,24
TVS Supply Chain Solutions,Logistics ,3.8,Chennai,2.7k,8.5k,15
ElasticRun,Logistics ,3.6,Pune,2.7k,6.2k,1
Capita,BPO ,3.5,Pune,2.7k,12.8k,54
KFintech,Financial Services ,3.4,Hyderabad,2.6k,11.1k,--
Exl India,Logistics ,3.5,New Delhi,2.6k,15.9k,1
G4S,Law Enforcement & Security ,4.0,Gurugram,2.6k,5.1k,791
Voltas,Consumer Electronics & Appliances ,4.0,Mumbai,2.6k,8.6k,6
Blue Star,Consumer Electronics & Appliances ,4.1,Mumbai,2.6k,9.9k,27
Sonalika Tractors,Automobile ,3.6,Hoshiarpur,2.6k,9k,2
Ajanta Pharma,Pharma ,3.9,Mumbai,2.6k,8.9k,8
Care Health Insurance,Insurance ,3.6,Gurugram,2.6k,8.7k,83
BlackBuck,Internet ,3.7,Bengaluru,2.6k,6.5k,23
Movate,IT Services & Consulting ,3.1,Chennai,2.6k,14.9k,91
Domino's Pizza,Hospitality ,3.9,New Delhi,2.6k,4.3k,--
Gallagher,Insurance ,3.7,Bengaluru,2.6k,14.3k,119
Physicswallah,EdTech ,3.6,Noida,2.6k,8.5k,227
NoBroker,Internet ,3.0,Bengaluru,2.6k,10.7k,353
Foxconn,Electronics Manufacturing ,3.9,Chennai,2.6k,10.7k,17
Fortis Healthcare,Healthcare ,4.0,New Delhi,2.6k,7.6k,824
Adani Power,Power ,3.7,Mundra,2.6k,10k,--
